date,code,value
20170112,000510,3780.44
20170113,000510,3771.82
20170116,000510,3750.79
20170117,000510,3767.17
20170118,000510,3776.22
20170119,000510,3763.36
20170120,000510,3796.81
20170123,000510,3811.05
20170124,000510,3808.93
20170125,000510,3822.23
20170126,000510,3839.38
20170203,000510,3816.10
20170206,000510,3831.86
20170207,000510,3823.44
20170208,000510,3840.79
20170209,000510,3857.26
20170210,000510,3872.01
20170213,000510,3895.22
20170214,000510,3895.16
20170215,000510,3874.53
20170216,000510,3896.44
20170217,000510,3870.44
20170220,000510,3924.93
20170221,000510,3941.84
20170222,000510,3952.88
20170223,000510,3940.82
20170224,000510,3943.48
20170227,000510,3914.41
20170228,000510,3922.06
20170301,000510,3930.00
20170302,000510,3904.13
20170303,000510,3902.19
20170306,000510,3926.95
20170307,000510,3935.93
20170308,000510,3928.29
20170309,000510,3903.82
20170310,000510,3904.98
20170313,000510,3938.98
20170314,000510,3936.17
20170315,000510,3944.28
20170316,000510,3964.11
20170317,000510,3927.18
20170320,000510,3937.33
20170321,000510,3958.58
20170322,000510,3944.58
20170323,000510,3955.03
20170324,000510,3984.83
20170327,000510,3969.20
20170328,000510,3959.53
20170329,000510,3954.81
20170330,000510,3912.66
20170331,000510,3936.37
20170405,000510,3994.48
20170406,000510,4009.08
20170407,000510,4015.32
20170410,000510,4000.33
20170411,000510,4017.31
20170412,000510,4000.14
20170413,000510,4011.42
20170414,000510,3976.36
20170417,000510,3964.68
20170418,000510,3946.72
20170419,000510,3923.09
20170420,000510,3940.37
20170421,000510,3937.44
20170424,000510,3883.80
20170425,000510,3900.34
20170426,000510,3907.40
20170427,000510,3915.44
20170428,000510,3911.30
20170502,000510,3903.83
20170503,000510,3890.52
20170504,000510,3880.94
20170505,000510,3852.28
20170508,000510,3816.96
20170509,000510,3816.22
20170510,000510,3785.98
20170511,000510,3804.34
20170512,000510,3828.32
20170515,000510,3843.87
20170516,000510,3888.34
20170517,000510,3871.15
20170518,000510,3854.44
20170519,000510,3860.45
20170522,000510,3862.45
20170523,000510,3858.01
20170524,000510,3862.66
20170525,000510,3916.61
20170526,000510,3911.52
20170531,000510,3917.48
20170601,000510,3906.09
20170602,000510,3904.14
20170605,000510,3896.34
20170606,000510,3921.10
20170607,000510,3973.89
20170608,000510,4002.32
20170609,000510,4021.41
20170612,000510,4015.73
20170613,000510,4033.68
20170614,000510,3988.85
20170615,000510,3988.14
20170616,000510,3978.21
20170619,000510,4012.80
20170620,000510,4008.33
20170621,000510,4049.46
20170622,000510,4038.12
20170623,000510,4072.39
20170626,000510,4124.93
20170627,000510,4132.54
20170628,000510,4101.86
20170629,000510,4129.74
20170630,000510,4132.45
20170703,000510,4123.31
20170704,000510,4093.77
20170705,000510,4135.54
20170706,000510,4138.08
20170707,000510,4129.68
20170710,000510,4119.86
20170711,000510,4124.68
20170712,000510,4114.71
20170713,000510,4135.24
20170714,000510,4142.53
20170717,000510,4073.06
20170718,000510,4086.09
20170719,000510,4143.56
20170720,000510,4164.13
20170721,000510,4153.50
20170724,000510,4173.72
20170725,000510,4154.54
20170726,000510,4138.22
20170727,000510,4153.05
20170728,000510,4168.01
20170731,000510,4190.46
20170801,000510,4217.40
20170802,000510,4203.06
20170803,000510,4177.96
20170804,000510,4154.90
20170807,000510,4188.43
20170808,000510,4195.94
20170809,000510,4202.90
20170810,000510,4180.11
20170811,000510,4107.37
20170814,000510,4167.96
20170815,000510,4182.16
20170816,000510,4181.33
20170817,000510,4204.90
20170818,000510,4207.18
20170821,000510,4229.60
20170822,000510,4236.88
20170823,000510,4230.55
20170824,000510,4208.74
20170825,000510,4267.27
20170828,000510,4307.90
20170829,000510,4300.68
20170830,000510,4306.55
20170831,000510,4296.60
20170901,000510,4313.06
20170904,000510,4336.66
20170905,000510,4350.01
20170906,000510,4350.71
20170907,000510,4325.34
20170908,000510,4324.99
20170911,000510,4334.81
20170912,000510,4343.29
20170913,000510,4354.73
20170914,000510,4337.69
20170915,000510,4329.25
20170918,000510,4344.69
20170919,000510,4330.19
20170920,000510,4348.47
20170921,000510,4336.39
20170922,000510,4332.24
20170925,000510,4312.78
20170926,000510,4319.09
20170927,000510,4329.82
20170928,000510,4334.51
20170929,000510,4350.76
20171009,000510,4405.79
20171010,000510,4421.68
20171011,000510,4429.21
20171012,000510,4441.32
20171013,000510,4457.56
20171016,000510,4439.77
20171017,000510,4438.16
20171018,000510,4461.47
20171019,000510,4449.97
20171020,000510,4453.31
20171023,000510,4464.35
20171024,000510,4485.75
20171025,000510,4509.44
20171026,000510,4529.94
20171027,000510,4553.06
20171030,000510,4529.46
20171031,000510,4536.82
20171101,000510,4529.86
20171102,000510,4518.56
20171103,000510,4508.86
20171106,000510,4552.27
20171107,000510,4587.27
20171108,000510,4578.10
20171109,000510,4615.00
20171110,000510,4657.50
20171113,000510,4680.30
20171114,000510,4644.70
20171115,000510,4606.86
20171116,000510,4645.92
20171117,000510,4629.08
20171120,000510,4665.22
20171121,000510,4728.25
20171122,000510,4739.36
20171123,000510,4597.02
20171124,000510,4595.22
20171127,000510,4529.59
20171128,000510,4552.58
20171129,000510,4545.84
20171130,000510,4494.68
20171201,000510,4497.14
20171204,000510,4516.17
20171205,000510,4513.39
20171206,000510,4497.09
20171207,000510,4451.51
20171208,000510,4494.09
20171211,000510,4571.96
20171212,000510,4514.88
20171213,000510,4557.59
20171214,000510,4540.25
20171215,000510,4489.62
20171218,000510,4489.72
20171219,000510,4544.14
20171220,000510,4533.82
20171221,000510,4573.49
20171222,000510,4564.00
20171225,000510,4542.62
20171226,000510,4556.06
20171227,000510,4490.76
20171228,000510,4521.63
20171229,000510,4534.62
20180102,000510,4595.15
20180103,000510,4623.97
20180104,000510,4646.29
20180105,000510,4650.98
20180108,000510,4667.86
20180109,000510,4698.21
20180110,000510,4712.02
20180111,000510,4714.65
20180112,000510,4728.15
20180115,000510,4704.70
20180116,000510,4724.67
20180117,000510,4701.34
20180118,000510,4725.91
20180119,000510,4727.36
20180122,000510,4796.04
20180123,000510,4831.73
20180124,000510,4842.78
20180125,000510,4826.11
20180126,000510,4837.84
20180129,000510,4751.28
20180130,000510,4710.30
20180131,000510,4709.00
20180201,000510,4652.98
20180202,000510,4682.00
20180205,000510,4672.34
20180206,000510,4521.28
20180207,000510,4440.18
20180208,000510,4417.96
20180209,000510,4243.35
20180212,000510,4314.27
20180213,000510,4357.35
20180214,000510,4391.89
20180222,000510,4489.21
20180223,000510,4505.55
20180226,000510,4572.24
20180227,000510,4522.27
20180228,000510,4489.77
20180301,000510,4528.58
20180302,000510,4491.89
20180305,000510,4496.26
20180306,000510,4542.12
20180307,000510,4507.96
20180308,000510,4555.01
20180309,000510,4601.56
20180312,000510,4638.01
20180313,000510,4600.36
20180314,000510,4573.50
20180315,000510,4598.51
20180316,000510,4553.90
20180319,000510,4580.53
20180320,000510,4589.44
20180321,000510,4559.94
20180322,000510,4519.65
20180323,000510,4373.26
20180326,000510,4370.93
20180327,000510,4425.25
20180328,000510,4348.32
20180329,000510,4394.98
20180330,000510,4419.61
20180402,000510,4407.55
20180403,000510,4374.71
20180404,000510,4359.23
20180409,000510,4362.10
20180410,000510,4428.78
20180411,000510,4441.22
20180412,000510,4398.91
20180413,000510,4373.77
20180416,000510,4326.59
20180417,000510,4247.03
20180418,000510,4277.33
20180419,000510,4326.25
20180420,000510,4265.59
20180423,000510,4257.28
20180424,000510,4347.04
20180425,000510,4337.14
20180426,000510,4251.63
20180427,000510,4251.86
20180502,000510,4256.79
20180503,000510,4288.86
20180504,000510,4271.51
20180507,000510,4343.66
20180508,000510,4386.90
20180509,000510,4382.32
20180510,000510,4403.36
20180511,000510,4378.16
20180514,000510,4411.61
20180515,000510,4437.56
20180516,000510,4407.71
20180517,000510,4375.56
20180518,000510,4413.02
20180521,000510,4444.16
20180522,000510,4438.04
20180523,000510,4379.22
20180524,000510,4351.08
20180525,000510,4328.47
20180528,000510,4342.10
20180529,000510,4311.62
20180530,000510,4221.14
20180531,000510,4306.37
20180601,000510,4261.63
20180604,000510,4295.53
20180605,000510,4350.32
20180606,000510,4344.91
20180607,000510,4327.98
20180608,000510,4275.72
20180611,000510,4268.49
20180612,000510,4321.65
20180613,000510,4275.79
20180614,000510,4254.72
20180615,000510,4216.15
20180619,000510,4049.23
20180620,000510,4068.74
20180621,000510,4011.63
20180622,000510,4034.53
20180625,000510,3985.48
20180626,000510,3969.48
20180627,000510,3895.95
20180628,000510,3851.18
20180629,000510,3960.31
20180702,000510,3856.47
20180703,000510,3864.90
20180704,000510,3809.17
20180705,000510,3773.21
20180706,000510,3800.93
20180709,000510,3905.25
20180710,000510,3915.32
20180711,000510,3847.46
20180712,000510,3937.65
20180713,000510,3952.90
20180716,000510,3934.94
20180717,000510,3916.23
20180718,000510,3893.19
20180719,000510,3884.77
20180720,000510,3949.51
20180723,000510,3984.67
20180724,000510,4046.60
20180725,000510,4045.91
20180726,000510,3997.99
20180727,000510,3979.94
20180730,000510,3963.71
20180731,000510,3963.45
20180801,000510,3891.93
20180802,000510,3806.53
20180803,000510,3740.47
20180806,000510,3688.14
20180807,000510,3794.67
20180808,000510,3732.58
20180809,000510,3829.10
20180810,000510,3839.66
20180813,000510,3834.99
20180814,000510,3814.75
20180815,000510,3722.25
20180816,000510,3694.47
20180817,000510,3637.12
20180820,000510,3672.30
20180821,000510,3737.57
20180822,000510,3712.28
20180823,000510,3728.50
20180824,000510,3728.55
20180827,000510,3823.20
20180828,000510,3818.33
20180829,000510,3798.52
20180830,000510,3755.79
20180831,000510,3724.89
20180903,000510,3718.83
20180904,000510,3767.23
20180905,000510,3694.84
20180906,000510,3658.92
20180907,000510,3671.01
20180910,000510,3613.80
20180911,000510,3609.29
20180912,000510,3583.58
20180913,000510,3618.49
20180914,000510,3615.47
20180917,000510,3571.19
20180918,000510,3644.51
20180919,000510,3690.02
20180920,000510,3686.35
20180921,000510,3788.59
20180925,000510,3764.74
20180926,000510,3803.66
20180927,000510,3782.46
20180928,000510,3819.44
20181008,000510,3658.52
20181009,000510,3655.71
20181010,000510,3647.04
20181011,000510,3461.25
20181012,000510,3504.69
20181015,000510,3455.54
20181016,000510,3416.96
20181017,000510,3439.76
20181018,000510,3353.49
20181019,000510,3451.66
20181022,000510,3596.86
20181023,000510,3501.15
20181024,000510,3496.41
20181025,000510,3486.12
20181026,000510,3469.14
20181029,000510,3368.19
20181030,000510,3392.10
20181031,000510,3447.68
20181101,000510,3474.62
20181102,000510,3605.88
20181105,000510,3581.84
20181106,000510,3560.99
20181107,000510,3540.88
20181108,000510,3528.88
20181109,000510,3482.55
20181112,000510,3535.43
20181113,000510,3575.31
20181114,000510,3543.39
20181115,000510,3583.72
20181116,000510,3596.75
20181119,000510,3622.88
20181120,000510,3540.89
20181121,000510,3550.62
20181122,000510,3540.52
20181123,000510,3454.24
20181126,000510,3453.30
20181127,000510,3453.65
20181128,000510,3496.06
20181129,000510,3448.54
20181130,000510,3484.06
20181203,000510,3587.60
20181204,000510,3598.84
20181205,000510,3581.48
20181206,000510,3503.33
20181207,000510,3502.27
20181210,000510,3464.65
20181211,000510,3480.83
20181212,000510,3490.33
20181213,000510,3542.15
20181214,000510,3477.65
20181217,000510,3470.80
20181218,000510,3441.64
20181219,000510,3397.07
20181220,000510,3375.30
20181221,000510,3340.70
20181224,000510,3357.02
20181225,000510,3333.18
20181226,000510,3316.33
20181227,000510,3296.11
20181228,000510,3310.24
20190102,000510,3267.28
20190103,000510,3255.28
20190104,000510,3324.34
20190107,000510,3355.19
20190108,000510,3347.41
20190109,000510,3378.78
20190110,000510,3377.43
20190111,000510,3402.61
20190114,000510,3371.66
20190115,000510,3435.98
20190116,000510,3435.91
20190117,000510,3414.47
20190118,000510,3474.29
20190121,000510,3498.12
20190122,000510,3447.57
20190123,000510,3447.59
20190124,000510,3468.48
20190125,000510,3490.33
20190128,000510,3488.27
20190129,000510,3490.84
20190130,000510,3458.77
20190131,000510,3484.53
20190201,000510,3544.12
20190211,000510,3618.57
20190212,000510,3646.12
20190213,000510,3715.81
20190214,000510,3722.99
20190215,000510,3663.51
20190218,000510,3781.06
20190219,000510,3776.16
20190220,000510,3786.16
20190221,000510,3774.87
20190222,000510,3849.76
20190225,000510,4067.33
20190226,000510,4030.27
20190227,000510,4016.12
20190228,000510,4020.42
20190301,000510,4099.00
20190304,000510,4153.94
20190305,000510,4199.28
20190306,000510,4233.98
20190307,000510,4194.64
20190308,000510,4049.87
20190311,000510,4149.38
20190312,000510,4191.22
20190313,000510,4133.83
20190314,000510,4096.25
20190315,000510,4144.27
20190318,000510,4259.36
20190319,000510,4249.41
20190320,000510,4241.17
20190321,000510,4250.90
20190322,000510,4255.27
20190325,000510,4168.52
20190326,000510,4108.10
20190327,000510,4152.04
20190328,000510,4131.18
20190329,000510,4279.36
20190401,000510,4405.31
20190402,000510,4407.49
20190403,000510,4455.16
20190404,000510,4498.04
20190408,000510,4490.00
20190409,000510,4503.29
20190410,000510,4517.48
20190411,000510,4418.10
20190412,000510,4407.88
20190415,000510,4390.18
20190416,000510,4506.64
20190417,000510,4519.05
20190418,000510,4498.89
20190419,000510,4551.49
20190422,000510,4460.83
20190423,000510,4437.01
20190424,000510,4460.98
20190425,000510,4346.91
20190426,000510,4289.47
20190429,000510,4285.82
20190430,000510,4299.75
20190506,000510,4034.59
20190507,000510,4071.02
20190508,000510,4015.66
20190509,000510,3948.02
20190510,000510,4096.13
20190513,000510,4030.30
20190514,000510,4002.54
20190515,000510,4096.28
20190516,000510,4114.51
20190517,000510,4006.51
20190520,000510,3975.28
20190521,000510,4031.69
20190522,000510,4012.76
20190523,000510,3932.05
20190524,000510,3932.98
20190527,000510,3991.42
20190528,000510,4025.70
20190529,000510,4021.64
20190530,000510,3996.93
20190531,000510,3982.53
20190603,000510,3978.16
20190604,000510,3937.43
20190605,000510,3931.87
20190606,000510,3886.06
20190610,000510,3940.44
20190611,000510,4064.28
20190612,000510,4034.28
20190613,000510,4032.24
20190614,000510,3991.90
20190617,000510,3989.13
20190618,000510,4004.23
20190619,000510,4058.68
20190620,000510,4171.96
20190621,000510,4189.05
20190624,000510,4197.14
20190625,000510,4151.02
20190626,000510,4149.94
20190627,000510,4194.99
20190628,000510,4177.17
20190701,000510,4304.32
20190702,000510,4305.17
20190703,000510,4254.60
20190704,000510,4232.71
20190705,000510,4256.97
20190708,000510,4147.92
20190709,000510,4138.72
20190710,000510,4130.45
20190711,000510,4131.45
20190712,000510,4155.50
20190715,000510,4178.49
20190716,000510,4159.62
20190717,000510,4155.47
20190718,000510,4108.18
20190719,000510,4143.87
20190722,000510,4109.87
20190723,000510,4126.07
20190724,000510,4163.26
20190725,000510,4195.38
20190726,000510,4205.26
20190729,000510,4202.52
20190730,000510,4218.81
20190731,000510,4184.72
