日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20150513,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4746.71,4758.00,4678.85,4718.44,-28.99,-0.61,37073.04,5904.80,300
20150514,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4717.96,4735.28,4670.17,4700.78,-17.66,-0.37,33772.52,5132.20,300
20150515,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4690.76,4690.76,4592.05,4617.47,-83.31,-1.77,32843.12,5066.95,300
20150518,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4582.06,4623.38,4565.06,4575.14,-42.33,-0.92,26918.05,4340.83,300
20150519,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4577.64,4740.01,4577.64,4731.22,156.08,3.41,31478.60,5242.32,300
20150520,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4751.57,4843.10,4745.21,4754.92,23.70,0.50,36318.07,5899.56,300
20150521,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4768.69,4841.62,4746.03,4840.98,86.06,1.81,30505.45,5053.46,300
20150522,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4895.93,4951.99,4870.60,4951.34,110.36,2.28,45584.67,7191.30,300
20150525,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4949.11,5099.84,4949.11,5099.50,148.16,2.99,46573.66,7570.86,300
20150526,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5140.80,5199.30,5063.15,5198.92,99.42,1.95,48794.94,8022.96,300
20150527,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5216.17,5226.84,5126.86,5181.43,-17.48,-0.34,47079.87,7778.26,300
20150528,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5174.10,5213.18,4831.33,4834.01,-347.43,-6.71,57182.90,8732.07,300
20150529,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4839.53,4924.30,4665.52,4840.83,6.82,0.14,42787.89,6360.08,300
20150601,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4862.76,5079.32,4835.77,5076.18,235.35,4.86,41750.37,6378.44,300
20150602,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5091.27,5162.56,5047.08,5161.87,85.69,1.69,41297.32,6584.53,300
20150603,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5176.60,5186.97,5059.50,5143.59,-18.28,-0.35,41425.83,6720.57,300
